Datetime,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Hour,Minute,Second
2025-09-29 11:51:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,2200,2025,9,29,11,51,0
2025-09-29 11:52:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,2200,2025,9,29,11,52,0
2025-09-29 11:53:00+08:00,3.549999952316284,3.549999952316284,3.539999961853028,3.549999952316284,3.549999952316284,3800,2025,9,29,11,53,0
2025-09-29 11:54:00+08:00,3.549999952316284,3.549999952316284,3.5299999713897705,3.5299999713897705,3.5299999713897705,34000,2025,9,29,11,54,0
2025-09-29 11:55:00+08:00,3.5299999713897705,3.539999961853028,3.5199999809265137,3.5199999809265137,3.5199999809265137,11200,2025,9,29,11,55,0
2025-09-29 11:56:00+08:00,3.5199999809265137,3.5299999713897705,3.5199999809265137,3.5299999713897705,3.5299999713897705,300,2025,9,29,11,56,0
2025-09-29 11:58:00+08:00,3.5299999713897705,3.539999961853028,3.5299999713897705,3.5299999713897705,3.5299999713897705,7300,2025,9,29,11,58,0
2025-09-29 12:58:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,17100,2025,9,29,12,58,0
2025-09-29 13:00:00+08:00,3.549999952316284,3.559999942779541,3.539999961853028,3.549999952316284,3.549999952316284,9500,2025,9,29,13,0,0
2025-09-29 13:01:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,500,2025,9,29,13,1,0
2025-09-29 13:02:00+08:00,3.549999952316284,3.549999952316284,3.539999961853028,3.539999961853028,3.539999961853028,1200,2025,9,29,13,2,0
2025-09-29 13:03:00+08:00,3.539999961853028,3.549999952316284,3.5299999713897705,3.539999961853028,3.539999961853028,10400,2025,9,29,13,3,0
2025-09-29 13:05:00+08:00,3.539999961853028,3.549999952316284,3.539999961853028,3.549999952316284,3.549999952316284,4200,2025,9,29,13,5,0
2025-09-29 13:06:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,2500,2025,9,29,13,6,0
2025-09-29 13:07:00+08:00,3.549999952316284,3.559999942779541,3.549999952316284,3.559999942779541,3.559999942779541,5800,2025,9,29,13,7,0
2025-09-29 13:08:00+08:00,3.559999942779541,3.559999942779541,3.549999952316284,3.559999942779541,3.559999942779541,3700,2025,9,29,13,8,0
2025-09-29 13:09:00+08:00,3.559999942779541,3.559999942779541,3.559999942779541,3.559999942779541,3.559999942779541,2400,2025,9,29,13,9,0
